"Object";"Parent";"Value";"IconFile";"ContentType"
"GeneralCatalogItem";"ITSM::ConfigItem::DeploymentState";"Expired";"productive_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::DeploymentState";"Inactive";"postproductive_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::DeploymentState";"Maintenance";"productive_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::DeploymentState";"Pilot";"preproductive_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::DeploymentState";"Planned";"preproductive_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::DeploymentState";"Production";"productive_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::DeploymentState";"Repair";"productive_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::DeploymentState";"Retired";"postproductive_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::DeploymentState";"Review";"productive_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::DeploymentState";"Test/QA";"preproductive_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::Core::IncidentState";"Warning";"service-yellow_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::Core::IncidentState";"Incident";"service-red_02.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::Core::IncidentState";"Operational";"service-green_02.svg";"image/svg+xml"
"FAQCategory";;"Misc";"faq-misc.svg";"image/svg+xml"
"Queue";;"Junk";"trash.svg";"image/svg+xml"
"Queue";;"Service Desk";"folder.svg";"image/svg+xml"
"Queue";;"Service Desk::Monitoring";"folder.svg";"image/svg+xml"
"TicketType";;"Incident";"type-incident.svg";"image/svg+xml"
"TicketType";;"Service Request";"type-servicerequest.svg";"image/svg+xml"
"TicketType";;"Unclassified";"type-unclassified.svg";"image/svg+xml"
"Priority";;"1 very high";"prio-red.svg";"image/svg+xml"
"Priority";;"2 high";"prio-salmon.svg";"image/svg+xml"
"Priority";;"3 normal";"prio-yellow.svg";"image/svg+xml"
"Priority";;"4 low";"prio-brightgreen.svg";"image/svg+xml"
"Priority";;"5 very low";"prio-green.svg";"image/svg+xml"
"TicketState";;"new";"letter-blue.svg";"image/svg+xml"
"TicketState";;"open";"ticket-open.svg";"image/svg+xml"
"TicketState";;"pending reminder";"time-wait.svg";"image/svg+xml"
"TicketState";;"closed";"ticket-close.svg";"image/svg+xml"
"TicketState";;"pending auto close";"ticket-close-pending-success.svg";"image/svg+xml"
"TicketState";;"removed";"ticket-removed.svg";"image/svg+xml"
"TicketState";;"merged";"ticket-merged.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::Class";"Location";"tour.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::Class";"Building";"combs.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::Class";"Room";"comb.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::Class";"Software";"software.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::Class";"Network";"network.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::Class";"Computer";"computer.svg";"image/svg+xml"
"GeneralCatalogItem";"ITSM::ConfigItem::Class";"Hardware";"hardware.svg";"image/svg+xml"
"TicketLockType";;"unlock";"lock-open.svg";"image/svg+xml"
"TicketLockType";;"lock";"lock-close.svg";"image/svg+xml"
"ArticleSenderType";;"system";"internal.svg";"image/svg+xml"
"ArticleSenderType";;"agent";"arrow-outward.svg";"image/svg+xml"
"ArticleSenderType";;"external";"arrow-receive.svg";"image/svg+xml"
"Channel";;"note";"note.svg";"image/svg+xml"
"Channel";;"email";"mail.svg";"image/svg+xml"
"MIMEType";;"application/gnutar";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"application/x-bzip";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"application/x-bzip2";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"application/x-compressed";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"application/x-gtar";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"application/x-gzip";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"application/x-lzh";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"application/x-lzx";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"application/x-zip-compressed";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"application/zip";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"multipart/x-gzip";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"multipart/x-zip";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"xgl/drawing";"filetype-archive.svg";"image/svg+xml"
"MIMEType";;"application/vnd.openofficeorg.extension";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"application/x-bsh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"application/x-bsh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"application/x-bsh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"application/x-csh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"application/x-ksh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"application/x-sh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"application/x-shar";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"application/x-shar";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"application/xml";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/asp";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/css";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/html";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/mcf";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/pascal";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/scriplet";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/sgml";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/sgml";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/uri-list";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/vnd.abc";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/vnd.fmi.flexstor";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/vnd.rn-realtext";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/vnd.wap.wml";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/vnd.wap.wmlscript";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/webviewhtml";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-asm";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-asm";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-audiosoft-intra";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-c";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-component";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-fortran";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-h";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-java-source";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-java-source";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-la-asf";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-m";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-pascal";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.csh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.elisp";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.guile";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.ksh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.lisp";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.perl";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.perl-module";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.phyton";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.rexx";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.scheme";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.sh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.tcl";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.tcsh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-script.zsh";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-server-parsed-html";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-server-parsed-html";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-setext";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-sgml";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/x-sgml";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"text/xml";"filetype-code.svg";"image/svg+xml"
"MIMEType";;"application/msword";"filetype-document.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.textÂ ";"filetype-document.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.text-template";"filetype-document.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.text-web";"filetype-document.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.text-master";"filetype-document.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.graphics";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.graphics-template";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.image";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/bmp";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/cmu-raster";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/fif";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/florian";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/florian";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/g3fax";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/gif";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/ief";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/ief";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/jpeg";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/jutvision";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/naplps";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/pict";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/pict";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/pjpeg";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/png";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/png";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/svg+xml";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/tiff";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/tiff";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/vasa";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/vnd.dwg";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/vnd.dwg";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/vnd.dwg";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/vnd.fpx";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/vnd.net-fpx";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/vnd.rn-realflash";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/vnd.rn-realpix";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/vnd.wap.wbmp";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/vnd.xiff";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-cmu-raster";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-dwg";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-icon";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-jg";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-jps";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-niff";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-niff";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-pcx";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-pict";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-portable-anymap";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-portable-bitmap";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-portable-graymap";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-portable-greymap";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-portable-pixmap";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-quicktime";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-rgb";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-tiff";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-tiff";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-windows-bmp";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-xbitmap";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-xbm";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-xpixmap";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-xwd";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/x-xwindowdump";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/xbm";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"image/xpm";"filetype-picture.svg";"image/svg+xml"
"MIMEType";;"application/mspowerpoint";"filetype-presentation.svg";"image/svg+xml"
"MIMEType";;"application/powerpoint";"filetype-presentation.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.presentation";"filetype-presentation.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.presentation-template";"filetype-presentation.svg";"image/svg+xml"
"MIMEType";;"application/vnd.ms-powerpoint";"filetype-presentation.svg";"image/svg+xml"
"MIMEType";;"application/x-mspowerpoint";"filetype-presentation.svg";"image/svg+xml"
"MIMEType";;"application/excel";"filetype-table.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.spreadsheet";"filetype-table.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.spreadsheet-template";"filetype-table.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.chart";"filetype-table.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.formula";"filetype-table.svg";"image/svg+xml"
"MIMEType";;"application/vnd.oasis.opendocument.database";"filetype-table.svg";"image/svg+xml"
"MIMEType";;"application/vnd.ms-excel";"filetype-table.svg";"image/svg+xml"
"MIMEType";;"application/x-excel";"filetype-table.svg";"image/svg+xml"
"MIMEType";;"application/x-msexcel";"filetype-table.svg";"image/svg+xml"
"MIMEType";;"text/tab-separated-values";"filetype-table.svg";"image/svg+xml"
"MIMEType";;"application/rtf";"filetype-text.svg";"image/svg+xml"
"MIMEType";;"text/plain";"filetype-text.svg";"image/svg+xml"
"MIMEType";;"text/richtext";"filetype-text.svg";"image/svg+xml"
"MIMEType";;"application/pdf";"filetype-vector.svg";"image/svg+xml"
"MIMEType";;"application/postscript";"filetype-vector.svg";"image/svg+xml"
"MIMEType";;"application/octet-stream";"filetype-other.svg";"image/svg+xml"
